product,instrument_id,test_id,ibp,fbp
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,fb04292a22dcbb295156267825e526fe22d6f7e5e9347cdb91b8924617db00d0,26.523,70.77
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,83113b864e869fcfb7ac90a1ed1c8ef999eb75028935090ac1b451e136655f70,31.787,142.239
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,7c96540127d8791e2ec99eff8ce4e64b7fffbcbe29d4acc2b462909f9b4ff68e,37.755,113.565
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,c5de962d04af6412c382b5aa2a192d3d9368ed7e9f2fc968b7d3805252f6cdbc,35.521,151.393
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,8a52c84c758d013efebe381212f7a7b99157fa2f132e586875fc9037b3e73325,32.381,145.903
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,749ee2a0abd5b1a755c9f5ac110af4db8415005a00b988dfaa958e3d77ae808a,34.562,154.439
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,400f8eea93bfc8aa906402e3d50d772ab46c4763f4a31b2666597b6c03ce9666,33.526,143.928
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,04944880f2dfaa313369b1252377ecb0a0269df02d999238e030278bc92e2dd4,35.788,154.225
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,b18c23728e69c0f0294aea9ca6577cc711b8c5190b8745fc4c500c13f38b6abb,40.279,128.281
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,aa5ae59badfa96cf6ec84f30971759d78b7d4ed72809e4d74bf112f30f96aaef,27.1,72.712
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,d188296f151a89805995738a1d858483fb442cf847c14b892cfd8458a8f18995,32.402,142.729
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,98e48c446b9fa43075cc8b312b1b5309e88cc704000905703a20439d10a13290,44.004,157.778
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,f0c9d2f101490ded713df65192ff58b42aca6df4c33dee2e5b21fc6e85184277,33.529,146.281
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,1ff8fcb81786ec6611ab93f62ae24a08b9c3cb6f635ee07dcdf27c41e0f01b36,31.368,67.724
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,bde73ac84fb80df3b570ea5a5d0e55431d9e2218247c6d5959f1b72f23d26ebd,34.341,160.75
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,640bd0e10632c9102a22e60184102cf435d5d8fc11be8c4583720566ec06ff88,38.579,166.955
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,9c286a086cb406527b465e84fe7ee9797f33d7ba22f9871fec09b61e98251381,35.008,151.663
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,0f324b444a862e3f80b622407bd878727339b7ad280d999b02ad097917e940fd,35.698,152.266
AUTO G1+G2 GAS EVAP,e1326398-e01a-445f-9caa-c175da8ac7d3,bdf6070ab1ca749b1ef751744dad58a668b8fa3dddeb52ac1051f4495a19519e,33.806,139.315
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,db7420c452d0de61245b385b752b7f32ae205d3a3e0befaa65cec266a66b1a52,36.492,150.814
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,e10a1807478e1c1dcd41353166db19d0638608747f3aef67deb5191c370f4b54,35.508,154.492
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,06c6d8605f05a16485e2cfe470f5808d1b75ef8653c19adb3e59ae052465580e,36.003,138.382
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,9c55305d6bec5ad155996f3198c4634d87c311556b1d0bb53f36212f5b472e15,75.244,22.444
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,1f8f61e5a880d4476613a1cff61292d590027a45c16434f00bdcbfe9ae210f67,97.559,97.815
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,03765020e7bcf0cc4f562f5d0ddbd4a266ba4016e2b8f89fc5caa1408178f5fb,41.029,44.486
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,16532af615af9c8f64633c2347c784fcb57b6676bf56e742e164bf0aef9cf4cb,36.707,141.747
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,5f9a463bdd40400ad73a8642b01fa2f84aa16a228de6fc1387a822d48864a377,44.004,157.778
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,f96a6bd7ebd5bf5093c9963f8bcd97b5a48f0650a6c34cf1cde390bf20fa0713,35.896,150.174
AUTO G1+G2 GAS EVAP,2ed1d374-7800-48a8-9a5e-dca96443823a,60ae265675d898247b53de554e2b250f7a160d444a0871d0c6b1cf0b0354d0d0,33.529,146.281
