instrument_id,week,downtime_hours
055dc39a-2794-458a-8e8c-464646a22267,2024-07-29 00:00:00+00:00,
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-06 00:00:00+00:00,129.2575
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-13 00:00:00+00:00,54.218333333333334
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-20 00:00:00+00:00,35.494166666666665
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-27 00:00:00+00:00,162.33277777777778
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-03 00:00:00+00:00,83.84305555555555
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-10 00:00:00+00:00,154.30166666666668
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-17 00:00:00+00:00,164.36388888888888
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-24 00:00:00+00:00,164.7313888888889
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-01 00:00:00+00:00,162.11805555555554
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-08 00:00:00+00:00,164.15055555555554
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-15 00:00:00+00:00,58.03722222222222
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-05 00:00:00+00:00,136.86666666666667
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-12 00:00:00+00:00,166.29416666666665
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-19 00:00:00+00:00,158.30666666666667
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-26 00:00:00+00:00,165.6288888888889
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-02 00:00:00+00:00,162.64944444444444
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-09 00:00:00+00:00,158.0263888888889
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-16 00:00:00+00:00,71.79944444444445
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-23 00:00:00+00:00,142.7927777777778
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-30 00:00:00+00:00,163.36222222222221
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-10-07 00:00:00+00:00,165.64166666666668
0889e4ec-1473-4d57-a5cb-df61853edf03,2024-10-14 00:00:00+00:00,5.1175
0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-05-06 00:00:00+00:00,66.91416666666667
